id,title,description,category,suggested_time,default_priority,recurrence_type,duration,energy_level,tags
1,Take Medicine,Take prescribed medication on schedule.,Health,"09:00,21:00",High,daily,1,Low,"health,routine"
2,Drink Water,Stay hydrated throughout the day.,Health,"""08:00,12:00,16:00,20:00""",High,daily,2,hydration,wellness
3,Visit Doctor Checkup,Attend a scheduled health checkup.,Health,10:00,High,weekly,60,Low,"health,appointment"
4,Weekly Meal Prep,Prepare meals in advance for the week.,Health,12:30,Medium,weekly,60,Medium,"nutrition,planning"
5,Eat Healthy,"Make a mindful, healthy meal choice.",Health,13:00,Medium,daily,20,Low,"nutrition,wellness"
6,Cook Dinner,Prepare a home-cooked healthy dinner.,Health,18:00,Medium,daily,40,Medium,"nutrition,cooking"
7,Take Vitamins,Take your daily vitamin supplements.,Health,08:30,Low,daily,1,Low,"health,supplements"
8,Pack Lunch,Prepare a healthy lunch for the next day.,Health,20:45,Low,daily,15,Low,"nutrition,planning"
9,Floss Teeth,Floss to maintain dental hygiene.,Health,22:00,Low,daily,3,Low,"health,hygiene"
10,Skincare Routine,Follow your morning or night skincare routine.,Health,22:15,Low,daily,10,Low,"self-care,health"
11,Exercise,Get your body moving with a workout session.,Fitness,07:00,Medium,daily,45,High,"fitness,strength"
12,Floor Exercise,Do bodyweight floor exercises like planks.,Fitness,07:45,Medium,daily,15,Medium,"fitness,strength"
13,Cardio Workout,Do a cardio session to boost heart health.,Fitness,06:45,Medium,daily,30,High,"fitness,cardio"
14,Strength Training,Lift weights or do resistance training.,Fitness,17:00,Medium,daily,40,High,"fitness,strength"
15,Yoga Session,Practice yoga for flexibility and calm.,Fitness,06:30,Medium,daily,30,Medium,"fitness,mindfulness"
16,Walk,Take a walk to stay active and clear your mind.,Fitness,18:00,Low,daily,20,Medium,"fitness,mental-health"
17,Stretch,Loosen up your muscles with a stretch session.,Fitness,07:15,Low,daily,10,Medium,"fitness,flexibility"
18,Evening Walk with Pet,Take your pet for an evening walk.,Fitness,19:30,Low,daily,20,Medium,"fitness,pets"
19,Review Goals,Reflect on progress toward personal goals.,Personal Growth,20:00,Medium,weekly,15,Low,"planning,growth"
20,Learn Language,Study a new language for a few minutes.,Personal Growth,19:30,Low,daily,15,Low,"learning,language"
21,Read,Spend some time reading a book or article.,Personal Growth,21:00,Low,daily,30,Low,"learning,relaxation"
22,Journal,Write down your thoughts and reflections.,Personal Growth,20:30,Low,daily,15,Low,"reflection,writing"
23,Listen to Podcast,Listen to an educational or inspiring podcast.,Personal Growth,08:00,Low,daily,25,Low,"learning,audio"
24,Sleep Early,Wind down and get to bed on time.,Wellness,22:00,Medium,daily,5,Low,"sleep,recovery"
25,Meditate,Take a few minutes to meditate and reset.,Wellness,07:30,Medium,daily,10,Low,"mindfulness,mental-health"
26,Limit Screen Time,Reduce screen usage before bed.,Wellness,21:30,Medium,daily,1,Low,"digital-wellness,sleep"
27,Practice Gratitude,Write down three things you're grateful for.,Wellness,21:15,Low,daily,5,Low,"mindfulness,gratitude"
28,Sunlight Exposure,Spend time outdoors to get natural sunlight.,Wellness,09:30,Low,daily,15,Medium,"wellness,outdoors"
29,Deep Breathing,Practice deep breathing exercises to relax.,Wellness,15:00,Low,daily,5,Low,"mindfulness,relaxation"
30,Call Family,Check in with a family member.,Relationships,19:00,Medium,weekly,15,Low,"relationships,connection"
31,Plan Tomorrow,Review and plan the next day's priorities.,Productivity,21:45,Medium,daily,10,Low,"planning,productivity"
32,Check Emails,Go through and respond to important emails.,Productivity,09:00,Medium,daily,20,Medium,"work,productivity"
33,Backup Files,Back up important files and documents.,Productivity,21:00,Medium,weekly,15,Low,"tech,organization"
34,Take a Break,Step away from work for a short mental break.,Productivity,14:00,Low,daily,10,Low,"productivity,mental-health"
35,Clean Workspace,Tidy up your desk and workspace.,Productivity,17:30,Low,daily,10,Low,"organization,productivity"
36,Grocery Shopping,Buy groceries and household essentials.,Chores,11:00,Medium,weekly,45,Medium,"chores,planning"
37,Sort Mail,Go through physical or digital mail.,Chores,11:30,Low,daily,5,Low,"chores,organization"
38,Wash Dishes,Clean dishes after meals.,Chores,19:45,Low,daily,10,Low,"chores,home"
39,Laundry,Wash and fold laundry.,Chores,10:00,Low,weekly,30,Medium,"chores,home"
40,Declutter Room,Spend time organizing and decluttering a room.,Chores,16:00,Low,weekly,30,Medium,"organization,home"
41,Water Plants,Water your indoor or outdoor plants.,Chores,08:15,Low,daily,5,Low,"home,chores"
42,Practice Public Speaking,Rehearse a presentation or speech.,Career,17:15,Medium,weekly,20,Medium,"career,communication"
43,Update Resume,Review and update your resume or portfolio.,Career,19:00,Low,weekly,20,Medium,"career,productivity"
44,Network Outreach,Reach out to a professional contact.,Career,10:30,Low,weekly,15,Low,"career,networking"
45,Practice Coding,Work on a coding project or exercise.,Skill Building,20:00,Medium,daily,45,High,"tech,skill-building"
46,Volunteer Work,Spend time volunteering for a cause.,Community,14:30,Medium,weekly,60,Medium,"community,giving-back"
47,Practice Handwriting,Practice handwriting or calligraphy.,Hobby,19:15,Low,daily,10,Low,"hobby,skill-building"
48,Practice Instrument,Practice playing a musical instrument.,Hobby,18:30,Low,daily,25,Medium,"music,skill-building"
49,Review Budget,Check spending and update your budget.,Finance,20:00,Medium,weekly,20,Low,"finance,planning"
50,Check Bank Statements,Review your bank and credit card statements.,Finance,18:45,Medium,weekly,15,Low,"finance,tracking"
